doc_id,cleaned_filer_names,member_name,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500023668,Nick Rockwell,"Thompson, Glenn",FALSE,PA,15,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023669,Noah Barger,"Bost, Mike",FALSE,IL,12,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023671,Paula Manley,"Cline, Ben",FALSE,VA,6,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023672,Philipp Clarke,"Rice, Tom",FALSE,SC,7,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023673,Preston Hill,"McCarthy, Kevin",FALSE,CA,20,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023674,Raven Reeder,"Norton, Eleanor",FALSE,DC,0,D,2021,Original,2021-10-15,2021-10-16,2,Democracy Fund; Pew Charitable Trusts; William And Flora Hewlett Foundation,"Philadelphia, PA",domestic,NA
500023675,Robert B Hicks III,"Obernolte, Jay",FALSE,CA,23,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023677,Robert Schwalbach,"Sablan, Gregorio",FALSE,MP,0,D,2021,Original,2021-10-15,2021-10-16,2,Democracy Fund; Pew Charitable Trusts; William And Flora Hewlett Foundation,"Philadelphia, PA",domestic,NA
500023679,Paul Johnson,"Moore, Blake",FALSE,UT,1,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023680,Ross Dietrich,"Gonzalez-Colon, Jenniffer",FALSE,PR,0,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023681,Rudolph T. Layher Jr.,"Steube, W. Gregory",FALSE,FL,17,R,2021,Original,2021-10-12,2021-10-15,4,"South Florida Agricultural Foundation, Inc.","Clewiston, FL; West Palm Beach, FL",domestic,NA
500023682,Sara Bowen,"Guthrie, Brett",FALSE,KY,2,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023683,Sara Roberston,"Crawford, Eric",FALSE,AR,1,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023684,Stacey Daniels,"McClain, Lisa",FALSE,MI,9,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023685,Summer-Star Blevins,"Bilirakis, Gus",FALSE,FL,12,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023686,Tim Hysom,"Auchincloss, Jake",FALSE,MA,4,D,2021,Original,2021-10-13,2021-10-15,3,Democracy Fund; Pew Charitable Trusts; William And Flora Hewlett Foundation,"Philadelphia, PA",domestic,NA
500023688,Victoria Spartz,"Spartz, Victoria",TRUE,IN,5,R,2021,Original,2021-10-11,2021-10-14,4,Us-qatar Business Council,"Doha, Qatar",international,NA
500023689,Walker Barrett,"Waltz, Michael",FALSE,FL,6,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023690,Edward Kim,"Moolenaar, John",FALSE,MI,2,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023692,Sean Griffin,"Brooks, Mo",FALSE,AL,5,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023693,Miriam Harmer,"Owens, Burgess",FALSE,UT,4,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023694,Sarah Selip,"Hice, Jody B.",FALSE,GA,10,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023702,Francis Brooke,"Scalise, Steve",FALSE,LA,1,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023703,Jeremy Tittle,"Carbajal, Salud",FALSE,CA,24,D,2021,Original,2021-10-15,2021-10-16,2,Pew Charitable Trusts;Democracy Fund;William And Flora Hewlett Foundation,"Philadelphia, PA",domestic,NA
500023704,John Peter Freire,"Brady, Kevin",FALSE,TX,8,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023705,Maeve Healy,"Meng, Grace",FALSE,NY,6,D,2021,Original,2021-10-15,2021-10-16,2,Pew Charitable Trusts;Democracy Fund;William And Flora Hewlett Foundation,"Philadelphia, PA",domestic,NA
500023706,Donald Barber,"Ellzey, Jake",FALSE,TX,6,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023708,Matthew Smith,"Comer, James",FALSE,KY,1,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023710,John Peter Freire,"Scalise, Steve",FALSE,LA,1,R,2021,Original,2021-10-14,2021-10-15,2,Congressional Institute,"Williamsburg, VA",domestic,NA
500023711,Abby Rime,"Emmer, Tom",FALSE,MN,6,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023712,Adam Cloch,"Curtis, John",FALSE,UT,3,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023713,Alex Lanfranconi,"Rutherford, John",FALSE,FL,5,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023714,Amy Houston Holdren,"Stefanik, Elise",FALSE,NY,21,R,2021,Amendment,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023715,Benjamin Elleson,"Long, Billy",FALSE,MO,7,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023716,Jaye Bradley,"Moore, Barry",FALSE,AL,2,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023717,Brittan Specht,"McCarthy, Kevin",FALSE,CA,20,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023718,Brittany A. Mandi,"Hinson, Ashley",FALSE,IA,2,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023719,Cameron Madsen,"Stewart, Chris",FALSE,UT,2,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023720,Charles Truxal,"Franklin, C. Scott",FALSE,FL,18,R,2021,Amendment,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023722,Danielle Jensen,"Bacon, Don",FALSE,NE,2,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023723,David Goldfarb,"Steil, Bryan",FALSE,WI,1,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023724,David E. Price,"Price, David E.",TRUE,NC,4,D,2021,Original,2021-10-22,2021-10-24,3,Aspen Institute;Democracy Fund;Rockefeller Brothers Fund,"Gettysburg, PA",domestic,NA
500023725,David Russell,"Moolenaar, John",FALSE,MI,2,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023726,Diana DeGette,"DeGette, Diana",TRUE,CO,1,D,2021,Original,2021-10-22,2021-10-24,3,Aspen Institute;Democracy Fund;Rockefeller Brothers Fund,"Gettysburg, PA",domestic,NA
500023727,Don Bacon,"Bacon, Don",TRUE,NE,2,R,2021,Original,2021-10-22,2021-10-24,3,Aspen Institute;Democracy Fund;Rockefeller Brothers Fund,"Gettysburg, PA",domestic,NA
500023728,Gerald Connolly,"Connolly, Gerald",TRUE,VA,11,D,2021,Original,2021-10-22,2021-10-24,3,Aspen Institute;Democracy Fund;Rockefeller Brothers Fund,"Gettysburg, PA",domestic,NA
500023730,Jake Middlebrooks,"LaTurner, Jake",FALSE,KS,2,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
500023731,Dina Titus,"Titus, Dina",TRUE,NV,1,D,2021,Original,2021-10-22,2021-10-24,3,Aspen Institute;Democracy Fund;Rockefeller Brothers Fund,"Gettysburg, PA",domestic,NA
500023732,James Baird,"Baird, James",TRUE,IN,4,R,2021,Original,2021-10-22,2021-10-24,3,Aspen Institute;Democracy Fund;Rockefeller Brothers Fund,"Gettysburg, PA",domestic,NA
500023733,Jim Banks,"Banks, Jim",TRUE,IN,3,R,2021,Original,2021-10-22,2021-10-24,3,Aspen Institute;Democracy Fund;Rockefeller Brothers Fund,"Gettysburg, PA",domestic,NA
500023734,Jay Kronzer,"Green, Mark",FALSE,TN,7,R,2021,Original,2021-10-13,2021-10-15,3,Congressional Institute,"Williamsburg, VA",domestic,NA
