Permit Category,County Agency,Permit Case ID,Permit Case Year,Permit Type,Case Name,Street Address,City,Zip Code,Permit Issuance Date,Expected Construction Cost,Location
Building Permit,DPIE,3242652,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242489,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242660,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242708,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242504,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242694,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242633,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242498,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242685,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242710,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242669,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244828,2023,DPIE Online MECC,3244828,7506 WELLESLEY,COLLEGE PARK,20740,January 09 2023,"6,500","7506 WELLESLEY COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242726,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242515,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242713,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242677,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
